,Dataset,AMI,ARI,tmax
160,Breast Cancer,0.4721663459534114,0.5401252298869754,10
161,Breast Cancer,0.4680008167717552,0.5344255485079394,11
162,Breast Cancer,0.4863011073948998,0.5833147337616935,12
163,Breast Cancer,0.4692243585233351,0.5568441970121236,13
164,Breast Cancer,0.5026347934394885,0.6103391250276233,14
165,Breast Cancer,0.49815890807908797,0.604863752379073,15
166,Breast Cancer,0.49815890807908797,0.604863752379073,16
167,Breast Cancer,0.49815890807908797,0.604863752379073,17
168,Breast Cancer,0.5026347934394885,0.6103391250276233,18
169,Breast Cancer,0.5026347934394885,0.6103391250276233,19
170,Breast Cancer,0.5026347934394885,0.6103391250276233,20
171,Breast Cancer,0.5026347934394885,0.6103391250276233,21
172,Breast Cancer,0.5026347934394885,0.6103391250276233,22
173,Breast Cancer,0.5026347934394885,0.6103391250276233,23
174,Breast Cancer,0.5026347934394885,0.6103391250276233,24
175,Breast Cancer,0.5026347934394885,0.6103391250276233,25
176,Breast Cancer,0.5026347934394885,0.6103391250276233,26
177,Breast Cancer,0.49815890807908797,0.604863752379073,27
178,Breast Cancer,0.5026347934394885,0.6103391250276233,28
179,Breast Cancer,0.5026347934394885,0.6103391250276233,29
180,Digits,0.4217632494115728,0.11174354554177954,0
181,Digits,0.8301291358129372,0.6808663377096899,1
182,Digits,-7.965324741523529e-17,0.0,2
183,Digits,-7.965324741523529e-17,0.0,3
184,Digits,-7.965324741523529e-17,0.0,4
185,Digits,-7.965324741523529e-17,0.0,5
186,Digits,0.2562134924021767,0.11084357885241813,6
187,Digits,0.2649111010450553,0.1128017121522263,7
188,Digits,0.2715364292702937,0.11354324601431115,8
189,Digits,0.2781467161314858,0.11769764266128974,9
190,Digits,0.2879231529373371,0.12165561115300526,10
191,Digits,-7.965324741523529e-17,0.0,11
192,Digits,-7.965324741523529e-17,0.0,12
193,Digits,-7.965324741523529e-17,0.0,13
194,Digits,-7.965324741523529e-17,0.0,14
195,Digits,-7.965324741523529e-17,0.0,15
196,Digits,-7.965324741523529e-17,0.0,16
197,Digits,-7.965324741523529e-17,0.0,17
198,Digits,-7.965324741523529e-17,0.0,18
199,Digits,-7.965324741523529e-17,0.0,19
200,Digits,-7.965324741523529e-17,0.0,20
201,Digits,-7.965324741523529e-17,0.0,21
202,Digits,-7.965324741523529e-17,0.0,22
203,Digits,-7.965324741523529e-17,0.0,23
204,Digits,-7.965324741523529e-17,0.0,24
205,Digits,-7.965324741523529e-17,0.0,25
206,Digits,-7.965324741523529e-17,0.0,26
207,Digits,-7.965324741523529e-17,0.0,27
208,Digits,-7.965324741523529e-17,0.0,28
209,Digits,-7.965324741523529e-17,0.0,29
