,step,n_samples,n_centers,jitter,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
50,0,1000,2,0.25,0.2,4,1.2612116833881006,0.6561053049735542,0.3700906946361628,0.004150227921568112,0.38973215713146786,0.40586335916185384
51,1,1000,2,0.25,0.2,4,1.2625662351490206,0.5903646109219561,0.31542076961745685,-0.00015298807650190635,0.34072927887187615,0.35802648008878346
52,2,1000,2,0.25,0.2,4,1.2609865450213853,0.5236736215760288,0.35353511531081466,0.00027546312922030247,0.393206593596092,0.41316855366773175
53,3,1000,2,0.25,0.2,4,1.2585881857010552,0.41210360975979976,0.38134961657315075,0.03206452193194695,0.39585838494464226,0.4208471410186625
54,4,1000,2,0.25,0.2,4,1.254247255904605,0.4184975279911775,0.33125098075636883,-0.0010639967305396047,0.3544319229477928,0.3726147969399958
55,5,1000,2,0.25,0.2,4,1.2559715812174586,0.587046452756155,0.35404029311050117,-0.0005636325676863073,0.3706450984072004,0.3925021696215027
56,6,1000,2,0.25,0.2,4,1.2529340042638126,0.481985239256503,0.3464298291349912,0.011794000810113118,0.36763433769932735,0.37990680782069974
57,7,1000,2,0.25,0.2,4,1.260561979535611,0.48240446723777286,0.3510703603418878,0.019549705367526683,0.3797915042088826,0.4079652429219407
58,8,1000,2,0.25,0.2,4,1.2525779275270719,0.4505653484759659,0.3327860161926038,0.025182537614753017,0.356308886734735,0.3560304704649583
59,9,1000,2,0.25,0.2,4,1.2633752017725688,0.3238114281951435,0.32386955169340836,0.018813415631675993,0.33512737552062793,0.34880383059423564
60,0,1000,2,0.3,0.2,4,1.2666197607720826,0.4391536409777744,0.35146765504717115,0.01626895704241467,0.3703491443141395,0.35915617883177214
61,1,1000,2,0.3,0.2,4,1.2675858938356095,0.42649417267303524,0.3067030922534955,0.022024568805955682,0.32023215979427294,0.0
62,2,1000,2,0.3,0.2,4,1.2665818818164813,0.47219820724274947,0.3559262080443044,0.020643277939708205,0.3706450984072004,0.38042040809507216
63,3,1000,2,0.3,0.2,4,1.2629566459379735,0.3807802882158639,0.35404029311050117,0.027875779463243742,0.36142438660861803,0.38730273509671664
64,4,1000,2,0.3,0.2,4,1.2573232649173334,0.4555091036422275,0.3292963680458457,0.005511956783092502,0.3340160210588908,0.3409687250239045
65,5,1000,2,0.3,0.2,4,1.2641708506914275,0.36490879576975127,0.3425183483545515,0.011765825741578913,0.3516155127792236,0.0
66,6,1000,2,0.3,0.2,4,1.2583610600361732,0.4154607315848378,0.3464187201731714,0.011737021633730206,0.35812411323897986,0.3534663698352613
67,7,1000,2,0.3,0.2,4,1.2655541277281797,0.4443888486996971,0.3559262080443044,0.014742689531781285,0.3513426680011158,0.37509545538515027
68,8,1000,2,0.3,0.2,4,1.258224802029793,0.3137828180190865,0.31726892848012905,0.01867193818466808,0.3375287496634041,0.3340160210588908
69,9,1000,2,0.3,0.2,4,1.267189672483524,0.28497837117152014,0.31724940531856854,0.005691663503260321,0.31726892848012905,0.3337944274290544
